"date","State.Abbr","MobilityMetric","AbbrMobMet","variable","value"
2020-04-10,"NE","Google_transit_stations","Ggltrnstst","log10ys",0.0362316313670181
2020-04-10,"NV","Google_transit_stations","Ggltrnstst","log10ys",-0.000686079250096814
2020-04-10,"NH","Google_transit_stations","Ggltrnstst","log10ys",0.040398610257037
2020-04-10,"NJ","Google_transit_stations","Ggltrnstst","log10ys",0.0116668754022306
2020-04-10,"NM","Google_transit_stations","Ggltrnstst","log10ys",0.0365461727184949
2020-04-10,"NY","Google_transit_stations","Ggltrnstst","log10ys",0.00407959728384484
2020-04-10,"NC","Google_transit_stations","Ggltrnstst","log10ys",0.0257656288964961
2020-04-10,"ND","Google_transit_stations","Ggltrnstst","log10ys",0.0301313200642782
2020-04-10,"OH","Google_transit_stations","Ggltrnstst","log10ys",0.0299679228138887
2020-04-10,"OK","Google_transit_stations","Ggltrnstst","log10ys",0.0448851495002181
2020-04-10,"OR","Google_transit_stations","Ggltrnstst","log10ys",0.0200117302602621
2020-04-10,"PA","Google_transit_stations","Ggltrnstst","log10ys",0.0184447760759576
2020-04-10,"RI","Google_transit_stations","Ggltrnstst","log10ys",0.00928753186663029
2020-04-10,"SC","Google_transit_stations","Ggltrnstst","log10ys",0.0404899895293836
2020-04-10,"SD","Google_transit_stations","Ggltrnstst","log10ys",0.0450617684670649
2020-04-10,"TN","Google_transit_stations","Ggltrnstst","log10ys",0.0279113200103944
2020-04-10,"TX","Google_transit_stations","Ggltrnstst","log10ys",0.0247457503389495
2020-04-10,"UT","Google_transit_stations","Ggltrnstst","log10ys",0.0240388952100026
2020-04-10,"VT","Google_transit_stations","Ggltrnstst","log10ys",0.0410879261547837
2020-04-10,"VA","Google_transit_stations","Ggltrnstst","log10ys",0.020435176134961
2020-04-10,"WA","Google_transit_stations","Ggltrnstst","log10ys",-0.0124135554066247
2020-04-10,"WV","Google_transit_stations","Ggltrnstst","log10ys",0.0332728941531809
2020-04-10,"WI","Google_transit_stations","Ggltrnstst","log10ys",0.0214353312982058
2020-04-10,"WY","Google_transit_stations","Ggltrnstst","log10ys",0.0365898131150216
2020-04-10,"AL","Google_workplaces","Gglwrkplcs","log10ys",0.0125383003741334
2020-04-10,"AK","Google_workplaces","Gglwrkplcs","log10ys",0.0079713135280498
2020-04-10,"AZ","Google_workplaces","Gglwrkplcs","log10ys",0.0111629217329386
2020-04-10,"AR","Google_workplaces","Gglwrkplcs","log10ys",0.0160358171145917
2020-04-10,"CA","Google_workplaces","Gglwrkplcs","log10ys",0.0103248106783894
2020-04-10,"CO","Google_workplaces","Gglwrkplcs","log10ys",0.0162145253455398
2020-04-10,"CT","Google_workplaces","Gglwrkplcs","log10ys",0.0170607552016969
2020-04-10,"DE","Google_workplaces","Gglwrkplcs","log10ys",0.0156441422380137
2020-04-10,"DC","Google_workplaces","Gglwrkplcs","log10ys",0.00811355303003453
2020-04-10,"FL","Google_workplaces","Gglwrkplcs","log10ys",0.00979345094488387
2020-04-10,"GA","Google_workplaces","Gglwrkplcs","log10ys",0.0106874799419507
2020-04-10,"HI","Google_workplaces","Gglwrkplcs","log10ys",0.00910065099570732
2020-04-10,"ID","Google_workplaces","Gglwrkplcs","log10ys",0.0165187228810062
2020-04-10,"IL","Google_workplaces","Gglwrkplcs","log10ys",0.0113777353092317
2020-04-10,"IN","Google_workplaces","Gglwrkplcs","log10ys",0.0118294046087455
2020-04-10,"IA","Google_workplaces","Gglwrkplcs","log10ys",0.0210966643869535
2020-04-10,"KS","Google_workplaces","Gglwrkplcs","log10ys",0.0226227174182525
2020-04-10,"KY","Google_workplaces","Gglwrkplcs","log10ys",0.0119306552630148
2020-04-10,"LA","Google_workplaces","Gglwrkplcs","log10ys",0.0146472970218421
2020-04-10,"ME","Google_workplaces","Gglwrkplcs","log10ys",0.0134381948780957
2020-04-10,"MD","Google_workplaces","Gglwrkplcs","log10ys",0.0187312298425328
2020-04-10,"MA","Google_workplaces","Gglwrkplcs","log10ys",0.0163507143281346
2020-04-10,"MI","Google_workplaces","Gglwrkplcs","log10ys",0.00882209031853725
2020-04-10,"MN","Google_workplaces","Gglwrkplcs","log10ys",0.0102168037368869
2020-04-10,"MS","Google_workplaces","Gglwrkplcs","log10ys",0.0109021786186356
2020-04-10,"MO","Google_workplaces","Gglwrkplcs","log10ys",0.0247190686505399
2020-04-10,"MT","Google_workplaces","Gglwrkplcs","log10ys",0.0141702320283339
2020-04-10,"NE","Google_workplaces","Gglwrkplcs","log10ys",0.0109892213840972
2020-04-10,"NV","Google_workplaces","Gglwrkplcs","log10ys",0.00334977666527363
2020-04-10,"NH","Google_workplaces","Gglwrkplcs","log10ys",0.0169993882652303
2020-04-10,"NJ","Google_workplaces","Gglwrkplcs","log10ys",0.0131440296307311
2020-04-10,"NM","Google_workplaces","Gglwrkplcs","log10ys",0.0155331930324361
2020-04-10,"NY","Google_workplaces","Gglwrkplcs","log10ys",0.0186812448414866
2020-04-10,"NC","Google_workplaces","Gglwrkplcs","log10ys",0.0133149510562913
2020-04-10,"ND","Google_workplaces","Gglwrkplcs","log10ys",0.0177995151417215
2020-04-10,"OH","Google_workplaces","Gglwrkplcs","log10ys",0.0112677791865469
2020-04-10,"OK","Google_workplaces","Gglwrkplcs","log10ys",0.0189577726269122
2020-04-10,"OR","Google_workplaces","Gglwrkplcs","log10ys",0.00843896921888348
2020-04-10,"PA","Google_workplaces","Gglwrkplcs","log10ys",0.0100729836833549
2020-04-10,"RI","Google_workplaces","Gglwrkplcs","log10ys",0.0147345493708374
2020-04-10,"SC","Google_workplaces","Gglwrkplcs","log10ys",0.0143477290115931
2020-04-10,"SD","Google_workplaces","Gglwrkplcs","log10ys",0.0151705376320599
2020-04-10,"TN","Google_workplaces","Gglwrkplcs","log10ys",0.00700120783112441
2020-04-10,"TX","Google_workplaces","Gglwrkplcs","log10ys",0.0153858377335539
2020-04-10,"UT","Google_workplaces","Gglwrkplcs","log10ys",0.0149822214580786
2020-04-10,"VT","Google_workplaces","Gglwrkplcs","log10ys",0.0109111463818235
2020-04-10,"VA","Google_workplaces","Gglwrkplcs","log10ys",0.0127822964654294
2020-04-10,"WA","Google_workplaces","Gglwrkplcs","log10ys",-0.00559031910421668
2020-04-10,"WV","Google_workplaces","Gglwrkplcs","log10ys",0.0111969857737852
2020-04-10,"WI","Google_workplaces","Gglwrkplcs","log10ys",0.0145896175338543
2020-04-10,"WY","Google_workplaces","Gglwrkplcs","log10ys",0.0159371943244526
2020-04-10,"AL","Google_residential_neg","Gglrsdntln","log10ys",0.00547850615518486
2020-04-10,"AK","Google_residential_neg","Gglrsdntln","log10ys",-0.00141646368265727
2020-04-10,"AZ","Google_residential_neg","Gglrsdntln","log10ys",0.00529039021652842
2020-04-10,"AR","Google_residential_neg","Gglrsdntln","log10ys",0.00991212618215413
2020-04-10,"CA","Google_residential_neg","Gglrsdntln","log10ys",0.000408105718633555
2020-04-10,"CO","Google_residential_neg","Gglrsdntln","log10ys",0.00669266774372457
2020-04-10,"CT","Google_residential_neg","Gglrsdntln","log10ys",0.00539876739389391
2020-04-10,"DE","Google_residential_neg","Gglrsdntln","log10ys",0.00562704982977437
2020-04-10,"DC","Google_residential_neg","Gglrsdntln","log10ys",0.00530634123718088
2020-04-10,"FL","Google_residential_neg","Gglrsdntln","log10ys",0.00243676704767966
