"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"tautheta","DC", 16.253580985, 1.63692908, 1.297751e+01, 1.329126e+01, 1.587268e+01, 1.671218e+01, 1.724848e+01, 1.791844e+01, 1.803313e+01
"ntheta","DC",  4.428120082, 0.50766732, 3.871566e+00, 3.878603e+00, 4.023276e+00, 4.328546e+00, 4.839584e+00, 5.130615e+00, 5.167819e+00
"taus","DC", 46.520618011,13.91925298, 2.668687e+01, 2.848893e+01, 3.703705e+01, 4.409349e+01, 5.486792e+01, 6.757254e+01, 6.875135e+01
"taur","DC", 49.435747462,17.38108635, 2.667558e+01, 2.756176e+01, 3.753877e+01, 4.598653e+01, 6.431811e+01, 7.284088e+01, 7.355625e+01
"rmax","DC",  0.194331733, 0.10859425, 4.936747e-02, 5.859032e-02, 1.168198e-01, 1.905197e-01, 2.394436e-01, 3.646314e-01, 3.770149e-01
"treopen","DC",122.774198996,13.67284271, 1.040647e+02, 1.051090e+02, 1.137712e+02, 1.206611e+02, 1.319043e+02, 1.426507e+02, 1.435217e+02
"log10ys","DE",  0.068266299, 0.18019817,-2.614832e-02,-2.592829e-02,-6.956189e-03, 1.063448e-02, 2.842557e-02, 4.286419e-01, 5.105071e-01
"thetamin","DE",  0.437993213, 0.24556985, 1.888405e-03, 3.484200e-02, 3.437284e-01, 4.919196e-01, 5.598265e-01, 7.587713e-01, 7.951419e-01
"tautheta","DE", 18.103684617, 1.42455214, 1.588518e+01, 1.594186e+01, 1.733422e+01, 1.834399e+01, 1.938762e+01, 1.950697e+01, 1.951807e+01
"ntheta","DE",  4.445022542, 1.07417974, 3.002250e+00, 3.024233e+00, 3.735380e+00, 4.412399e+00, 5.478861e+00, 5.667864e+00, 5.707161e+00
"taus","DE", 38.762289154, 8.52903683, 2.899666e+01, 2.976891e+01, 3.355999e+01, 3.661906e+01, 4.040035e+01, 5.319024e+01, 5.397128e+01
