"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"ntheta","MD",  4.034689085, 0.79674049, 2.933692e+00, 2.986360e+00, 3.673246e+00, 3.863394e+00, 4.562558e+00, 5.271182e+00, 5.413879e+00
"taus","MD", 38.584211995,13.98660505, 2.854722e+01, 2.876574e+01, 3.197035e+01, 3.501251e+01, 3.762127e+01, 6.614763e+01, 7.211973e+01
"taur","MD", 46.002066148,11.45183633, 2.097785e+01, 2.444426e+01, 4.475370e+01, 4.792522e+01, 5.235805e+01, 5.755412e+01, 5.821130e+01
"rmax","MD",  0.364741221, 0.14255463, 1.920515e-01, 1.986388e-01, 2.734684e-01, 3.171071e-01, 4.807569e-01, 5.745988e-01, 5.861549e-01
"treopen","MD",116.439049173,12.90591529, 1.056039e+02, 1.058916e+02, 1.102207e+02, 1.138872e+02, 1.162938e+02, 1.414824e+02, 1.467034e+02
"log10ys","ME", -0.098854448, 0.30364465,-8.480695e-01,-7.042334e-01,-1.387317e-02,-1.120901e-03, 2.001951e-02, 4.177693e-02, 4.220403e-02
"thetamin","ME",  0.428725759, 0.25880543, 1.897177e-03, 2.582912e-02, 3.405763e-01, 4.586078e-01, 5.527965e-01, 7.845489e-01, 8.221090e-01
"tautheta","ME", 18.237287116, 1.51496110, 1.588513e+01, 1.614878e+01, 1.755199e+01, 1.792305e+01, 1.888278e+01, 2.059211e+01, 2.074484e+01
"ntheta","ME",  4.108861645, 1.28555837, 2.110078e+00, 2.205856e+00, 3.067903e+00, 4.544458e+00, 5.028654e+00, 5.471229e+00, 5.477675e+00
"taus","ME", 31.784682820,11.70383394, 1.919842e+01, 1.946160e+01, 2.309094e+01, 3.082297e+01, 3.476362e+01, 5.201886e+01, 5.398164e+01
"taur","ME", 49.072397515,14.70611097, 1.861714e+01, 2.240500e+01, 4.326157e+01, 5.388751e+01, 5.904203e+01, 6.212686e+01, 6.240867e+01
"rmax","ME",  0.610189531, 0.29773122, 3.095713e-01, 3.196774e-01, 4.734074e-01, 5.397321e-01, 6.556203e-01, 1.174346e+00, 1.274685e+00
"treopen","ME",110.021969936,10.80045325, 9.740544e+01, 9.808329e+01, 1.014051e+02, 1.089190e+02, 1.140690e+02, 1.282050e+02, 1.298668e+02
"log10ys","MI",  0.022740989, 0.04261808,-2.035911e-02,-1.904068e-02,-5.434105e-04, 6.722021e-03, 4.125713e-02, 1.000151e-01, 1.110208e-01
"thetamin","MI",  0.366078247, 0.22194488, 4.476976e-03, 2.946196e-02, 2.839133e-01, 3.951444e-01, 4.387283e-01, 7.013337e-01, 7.464683e-01
"tautheta","MI", 18.409963654, 2.14122679, 1.497609e+01, 1.513903e+01, 1.718661e+01, 1.888170e+01, 1.989255e+01, 2.079251e+01, 2.086607e+01
"ntheta","MI",  4.154017178, 1.10174390, 3.091434e+00, 3.096218e+00, 3.543989e+00, 4.063552e+00, 4.278953e+00, 6.210702e+00, 6.606127e+00
"taus","MI", 35.460471669,19.21893923, 2.423399e+01, 2.474096e+01, 2.732640e+01, 2.900461e+01, 3.106983e+01, 7.407661e+01, 8.246233e+01
"taur","MI", 44.535833999,18.63109092, 4.401538e+00, 9.104060e+00, 4.298947e+01, 5.002648e+01, 5.478700e+01, 6.059878e+01, 6.077759e+01
"rmax","MI",  0.553986059, 0.13484333, 3.800805e-01, 3.893013e-01, 4.447928e-01, 5.381861e-01, 6.606811e-01, 7.486948e-01, 7.649665e-01
"treopen","MI",113.870435323,17.91098194, 1.023753e+02, 1.029361e+02, 1.067198e+02, 1.077610e+02, 1.101282e+02, 1.498657e+02, 1.574384e+02
"log10ys","MN", -0.027802408, 0.08393512,-2.311400e-01,-1.956042e-01,-1.992023e-02, 2.062171e-03, 1.097714e-02, 2.410072e-02, 2.640066e-02
"thetamin","MN",  0.420819382, 0.24712637,-2.179086e-05, 2.550748e-02, 3.437532e-01, 4.613366e-01, 5.427507e-01, 7.494137e-01, 7.887836e-01
"tautheta","MN", 17.614543571, 1.64860483, 1.533048e+01, 1.533890e+01, 1.679924e+01, 1.785388e+01, 1.841732e+01, 1.992473e+01, 2.017562e+01
"ntheta","MN",  4.879776989, 2.16292295, 2.436289e+00, 2.506722e+00, 3.458152e+00, 4.484636e+00, 5.672028e+00, 8.485136e+00, 8.753620e+00
"taus","MN", 33.928144925,16.50810830, 2.214721e+01, 2.251766e+01, 2.628256e+01, 2.994909e+01, 3.212725e+01, 6.652913e+01, 7.378947e+01
"taur","MN", 48.789454832,16.81908651, 1.628301e+01, 1.908508e+01, 4.386943e+01, 5.381993e+01, 5.807346e+01, 6.567688e+01, 6.592068e+01
"rmax","MN",  0.483104556, 0.19703840, 2.181435e-01, 2.300032e-01, 3.427243e-01, 4.723933e-01, 6.166342e-01, 7.743862e-01, 8.016820e-01
"treopen","MN",111.542688496,15.67581281, 1.003651e+02, 1.006082e+02, 1.042090e+02, 1.075196e+02, 1.104354e+02, 1.424206e+02, 1.491681e+02
"log10ys","MO",  0.020995692, 0.02551736,-1.417006e-02,-1.276801e-02, 4.063280e-03, 1.872428e-02, 4.104743e-02, 5.538175e-02, 5.708878e-02
"thetamin","MO",  0.474249785, 0.25657671,-6.346462e-04, 3.804292e-02, 3.817126e-01, 5.343406e-01, 6.161519e-01, 7.811828e-01, 8.061147e-01
"tautheta","MO", 18.557989510, 1.83155496, 1.568432e+01, 1.580714e+01, 1.766986e+01, 1.865365e+01, 1.987337e+01, 2.072398e+01, 2.074703e+01
"ntheta","MO",  4.342818633, 1.20602551, 3.218233e+00, 3.236669e+00, 3.473044e+00, 3.758513e+00, 5.239042e+00, 6.253417e+00, 6.368640e+00
"taus","MO", 31.626380530, 9.34460921, 2.218871e+01, 2.257625e+01, 2.551543e+01, 2.977600e+01, 3.328363e+01, 4.895027e+01, 5.127474e+01
"taur","MO", 42.223421029,11.96359239, 2.529442e+01, 2.623731e+01, 3.405413e+01, 4.119608e+01, 5.143412e+01, 5.881615e+01, 5.991999e+01
"rmax","MO",  0.572918151, 0.18424120, 2.811704e-01, 3.003054e-01, 4.883995e-01, 5.753018e-01, 6.698419e-01, 8.428526e-01, 8.698481e-01
"treopen","MO",110.184370040, 8.61633289, 1.006058e+02, 1.010761e+02, 1.049575e+02, 1.086387e+02, 1.115666e+02, 1.254975e+02, 1.269591e+02
"log10ys","MS",  0.010258970, 0.03205251,-2.762142e-02,-2.736367e-02,-1.171071e-02, 9.414464e-03, 2.228942e-02, 6.014984e-02, 6.297693e-02
"thetamin","MS",  0.516188211, 0.26540145, 1.897177e-03, 4.910584e-02, 4.306967e-01, 5.945338e-01, 6.603872e-01, 8.156246e-01, 8.420936e-01
"tautheta","MS", 18.821960808, 2.77029896, 1.404424e+01, 1.436640e+01, 1.792261e+01, 1.906214e+01, 2.038557e+01, 2.238167e+01, 2.264453e+01
"ntheta","MS",  4.356172362, 1.45858672, 2.179608e+00, 2.224116e+00, 3.648865e+00, 4.491842e+00, 5.461766e+00, 6.126531e+00, 6.264168e+00
"taus","MS", 31.841309391,13.51027078, 1.900195e+01, 1.939518e+01, 2.181760e+01, 2.693319e+01, 3.862298e+01, 5.323071e+01, 5.398164e+01
"taur","MS", 36.687941757,17.95206256, 2.927711e+00, 6.340955e+00, 3.029160e+01, 3.891781e+01, 4.724232e+01, 5.966372e+01, 6.201225e+01
"rmax","MS",  0.610667525, 0.19776860, 3.654663e-01, 3.657908e-01, 4.758710e-01, 6.160332e-01, 7.173882e-01, 9.150615e-01, 9.492158e-01
"treopen","MS",110.663270199,11.30111308, 1.001444e+02, 1.002509e+02, 1.010962e+02, 1.072648e+02, 1.172340e+02, 1.287937e+02, 1.298668e+02
"log10ys","MT", -0.196394489, 0.57930175,-1.628735e+00,-1.348283e+00,-2.230930e-02, 3.234338e-03, 2.043333e-02, 4.390328e-02, 4.489615e-02
"thetamin","MT",  0.471636883, 0.25879793, 1.897177e-03, 3.971715e-02, 3.726403e-01, 5.333308e-01, 5.930413e-01, 7.994867e-01, 8.278870e-01
"tautheta","MT", 19.231437247, 2.40851765, 1.588513e+01, 1.618838e+01, 1.766953e+01, 1.890702e+01, 2.047604e+01, 2.310863e+01, 2.356044e+01
"ntheta","MT",  3.725253723, 1.13054680, 2.008418e+00, 2.185947e+00, 3.178507e+00, 3.387013e+00, 4.467461e+00, 5.393742e+00, 5.477675e+00
"taus","MT", 26.582897941,14.59220198, 6.513490e+00, 7.616763e+00, 1.859152e+01, 2.573228e+01, 3.303822e+01, 5.065598e+01, 5.398164e+01
"taur","MT", 47.507229802,15.65134588, 2.565460e+01, 2.748081e+01, 3.907421e+01, 4.476539e+01, 5.403624e+01, 7.287662e+01, 7.511472e+01
"rmax","MT",  0.781383748, 0.27357204, 3.673206e-01, 3.764892e-01, 6.435645e-01, 8.421883e-01, 9.264873e-01, 1.127790e+00, 1.152751e+00
"treopen","MT",105.814335188,12.84611988, 9.007393e+01, 9.060812e+01, 9.844324e+01, 1.036329e+02, 1.114964e+02, 1.274325e+02, 1.298668e+02
"log10ys","NC",  0.048956987, 0.11352587,-1.853811e-02,-1.794623e-02, 8.242525e-04, 1.358753e-02, 2.945448e-02, 2.758244e-01, 3.257372e-01
"thetamin","NC",  0.472539769, 0.25279029, 3.000393e-04, 3.914864e-02, 4.202276e-01, 5.223306e-01, 5.919627e-01, 7.859110e-01, 8.196401e-01
"tautheta","NC", 18.639743523, 2.17019152, 1.508472e+01, 1.526472e+01, 1.764086e+01, 1.885688e+01, 2.028786e+01, 2.104922e+01, 2.108487e+01
"ntheta","NC",  4.233728869, 1.28057699, 3.107105e+00, 3.117242e+00, 3.197536e+00, 3.791216e+00, 5.003673e+00, 6.459734e+00, 6.754151e+00
"taus","NC", 32.661732711,12.40802207, 2.231838e+01, 2.300811e+01, 2.659904e+01, 2.828762e+01, 3.276764e+01, 5.719830e+01, 6.167472e+01
"taur","NC", 43.924499357,13.23634826, 2.359208e+01, 2.414685e+01, 3.650799e+01, 4.711520e+01, 5.183958e+01, 5.876418e+01, 5.876652e+01
"rmax","NC",  0.479802949, 0.15915133, 2.597909e-01, 2.699303e-01, 3.966522e-01, 4.541250e-01, 5.747403e-01, 7.148273e-01, 7.278970e-01
"treopen","NC",111.301476234,11.39974045, 1.006720e+02, 1.009696e+02, 1.062204e+02, 1.081598e+02, 1.116005e+02, 1.332974e+02, 1.367594e+02
"log10ys","ND", -0.138309314, 0.40268613,-1.133560e+00,-9.397629e-01,-1.809157e-02,-4.259051e-03, 2.065641e-02, 2.997308e-02, 3.013132e-02
"thetamin","ND",  0.478731920, 0.26185170, 1.897177e-03, 3.701351e-02, 3.708316e-01, 5.751126e-01, 6.148495e-01, 7.822546e-01, 8.173980e-01
"tautheta","ND", 18.721624150, 1.82814734, 1.588513e+01, 1.607072e+01, 1.801944e+01, 1.859546e+01, 1.956168e+01, 2.148241e+01, 2.172149e+01
"ntheta","ND",  4.241596477, 1.70612364, 2.077101e+00, 2.233513e+00, 3.086349e+00, 3.994488e+00, 4.979163e+00, 7.129846e+00, 7.480306e+00
"taus","ND", 32.018314972,10.95015626, 2.213515e+01, 2.233838e+01, 2.371013e+01, 2.910171e+01, 3.530194e+01, 5.178315e+01, 5.398164e+01
"taur","ND", 40.538168979,11.90039073, 2.108968e+01, 2.259914e+01, 3.103683e+01, 4.419223e+01, 4.963461e+01, 5.350833e+01, 5.431164e+01
"rmax","ND",  0.647238483, 0.22276960, 2.944099e-01, 3.071693e-01, 5.604799e-01, 6.896559e-01, 7.412451e-01, 9.357437e-01, 9.524971e-01
"treopen","ND",110.739939122, 9.61625110, 1.017413e+02, 1.021115e+02, 1.041167e+02, 1.072231e+02, 1.139558e+02, 1.281044e+02, 1.298668e+02
"log10ys","NE", -0.063487129, 0.20243029,-5.604988e-01,-4.671773e-01,-2.481910e-02, 5.556803e-03, 1.729982e-02, 4.389004e-02, 4.551456e-02
"thetamin","NE",  0.510995417, 0.27274161,-2.001294e-03, 3.843216e-02, 4.214658e-01, 5.840318e-01, 6.701555e-01, 8.069642e-01, 8.215393e-01
"tautheta","NE", 17.148084464, 1.69433868, 1.442259e+01, 1.466604e+01, 1.646487e+01, 1.720534e+01, 1.766413e+01, 1.986621e+01, 2.024271e+01
"ntheta","NE",  3.935821141, 1.70785088, 2.450275e+00, 2.464415e+00, 2.709975e+00, 3.196073e+00, 4.996037e+00, 6.899670e+00, 7.281109e+00
"taus","NE", 31.537453621, 8.35679370, 1.963344e+01, 1.977107e+01, 2.860160e+01, 3.169591e+01, 3.597065e+01, 4.345015e+01, 4.478115e+01
"taur","NE", 47.610301748,12.61588110, 3.115824e+01, 3.153988e+01, 3.870449e+01, 4.641884e+01, 5.826523e+01, 6.379280e+01, 6.423790e+01
"rmax","NE",  0.549901313, 0.21592731, 2.238203e-01, 2.496933e-01, 4.141295e-01, 5.318668e-01, 7.113102e-01, 8.401522e-01, 8.574005e-01
"treopen","NE",108.685538085, 8.36638166, 9.631535e+01, 9.669962e+01, 1.042839e+02, 1.087468e+02, 1.148650e+02, 1.197578e+02, 1.205949e+02
"log10ys","NH", -0.016112373, 0.05858748,-1.468297e-01,-1.260262e-01,-2.659957e-02,-7.015418e-03, 1.991572e-02, 3.834518e-02, 4.039861e-02
"thetamin","NH",  0.439544505, 0.24372987, 1.897177e-03, 3.325316e-02, 3.843762e-01, 4.840987e-01, 5.561063e-01, 7.513503e-01, 7.890018e-01
"tautheta","NH", 18.250010690, 1.39974943, 1.588513e+01, 1.615928e+01, 1.765763e+01, 1.793974e+01, 1.919402e+01, 2.015547e+01, 2.021473e+01
"ntheta","NH",  4.682003076, 1.66261459, 3.055994e+00, 3.067869e+00, 3.292710e+00, 4.170349e+00, 5.840532e+00, 7.135851e+00, 7.179707e+00
"taus","NH", 35.903649204, 8.19911427, 2.836298e+01, 2.877283e+01, 3.088457e+01, 3.297230e+01, 3.805978e+01, 5.150271e+01, 5.398164e+01
"taur","NH", 41.345489299, 5.87479700, 3.025080e+01, 3.172227e+01, 3.951911e+01, 4.164097e+01, 4.354793e+01, 4.976593e+01, 5.081168e+01
"rmax","NH",  0.533117421, 0.19808595, 2.409795e-01, 2.630892e-01, 4.223053e-01, 5.213038e-01, 6.169914e-01, 8.435495e-01, 8.692969e-01
"treopen","NH",114.153659894, 7.31774310, 1.058147e+02, 1.063123e+02, 1.105340e+02, 1.123937e+02, 1.159359e+02, 1.277100e+02, 1.298668e+02
"log10ys","NJ",  0.134389270, 0.37089940,-2.230366e-02,-2.157452e-02,-6.093941e-03, 7.947428e-03, 1.922284e-02, 8.737429e-01, 1.051136e+00
"thetamin","NJ",  0.342074998, 0.21918952, 2.276633e-03, 2.395518e-02, 2.569837e-01, 3.507004e-01, 4.162070e-01, 6.825410e-01, 7.228312e-01
"tautheta","NJ", 17.625954014, 1.73174338, 1.512149e+01, 1.513986e+01, 1.650277e+01, 1.796504e+01, 1.905067e+01, 1.950268e+01, 1.955120e+01
"ntheta","NJ",  4.291887910, 1.23016065, 3.280322e+00, 3.293589e+00, 3.574940e+00, 3.902576e+00, 4.347550e+00, 6.627826e+00, 6.906655e+00
"taus","NJ", 39.047619269,21.09586119, 2.896483e+01, 2.899096e+01, 2.954055e+01, 3.211747e+01, 3.368124e+01, 8.142382e+01, 9.086463e+01
"taur","NJ", 47.267137487,19.07852515, 9.639904e-01, 9.565386e+00, 5.078646e+01, 5.225123e+01, 5.463272e+01, 6.082386e+01, 6.207042e+01
"rmax","NJ",  0.363040334, 0.08689133, 2.572420e-01, 2.583375e-01, 3.197955e-01, 3.549175e-01, 3.974571e-01, 5.089381e-01, 5.289998e-01
"treopen","NJ",116.673573283,20.14192084, 1.049091e+02, 1.054659e+02, 1.082017e+02, 1.095644e+02, 1.128358e+02, 1.570428e+02, 1.659861e+02
"log10ys","NM", -0.133016974, 0.41116806,-1.148865e+00,-9.522808e-01,-1.358769e-02, 8.335579e-03, 2.078644e-02, 4.856488e-02, 5.111430e-02
"thetamin","NM",  0.469332379, 0.25617594, 4.352086e-04, 3.811270e-02, 3.595160e-01, 5.401503e-01, 6.152566e-01, 7.770105e-01, 8.071639e-01
"tautheta","NM", 19.724384292, 2.26642483, 1.632262e+01, 1.667469e+01, 1.885128e+01, 1.937160e+01, 2.018648e+01, 2.329474e+01, 2.346677e+01
"ntheta","NM",  4.465926216, 1.34544158, 2.807500e+00, 2.839915e+00, 3.624267e+00, 4.389477e+00, 5.200711e+00, 6.595672e+00, 6.882027e+00
"taus","NM", 33.010223453,15.89479170, 2.041624e+01, 2.090813e+01, 2.503660e+01, 2.876384e+01, 3.305338e+01, 6.417215e+01, 7.059056e+01
"taur","NM", 40.988227979,18.25682470, 1.245375e+01, 1.452317e+01, 2.633166e+01, 4.313042e+01, 5.646772e+01, 6.168920e+01, 6.178687e+01
"rmax","NM",  0.461851390, 0.12885692, 2.333332e-01, 2.579420e-01, 3.863174e-01, 4.660464e-01, 5.606074e-01, 6.188749e-01, 6.253815e-01
"treopen","NM",112.734607745,14.76433139, 1.015615e+02, 1.017958e+02, 1.045008e+02, 1.079499e+02, 1.134856e+02, 1.417450e+02, 1.469132e+02
"log10ys","NV", -0.065201038, 0.15468200,-4.438371e-01,-3.754402e-01,-3.620977e-02,-9.595933e-03, 2.084657e-03, 1.710239e-02, 2.001961e-02
"thetamin","NV",  0.395196221, 0.25183618, 2.011228e-03, 2.402233e-02, 2.404950e-01, 4.562095e-01, 5.068080e-01, 7.550619e-01, 7.984121e-01
"tautheta","NV", 17.700160487, 1.02388193, 1.585471e+01, 1.596282e+01, 1.738507e+01, 1.796763e+01, 1.840954e+01, 1.875362e+01, 1.882479e+01
"ntheta","NV",  7.142660143, 1.52399052, 5.456859e+00, 5.474413e+00, 5.587574e+00, 7.264818e+00, 8.039181e+00, 9.412853e+00, 9.602829e+00
"taus","NV", 36.093668000, 9.76594177, 2.700276e+01, 2.754622e+01, 3.129538e+01, 3.355010e+01, 3.627859e+01, 5.514853e+01, 5.861989e+01
"taur","NV", 48.140761508,10.22713335, 3.314116e+01, 3.328727e+01, 4.079458e+01, 5.272169e+01, 5.423412e+01, 5.974268e+01, 6.085578e+01
"rmax","NV",  0.447933858, 0.13169772, 2.387915e-01, 2.509711e-01, 3.822528e-01, 4.491081e-01, 5.393135e-01, 6.254236e-01, 6.395435e-01
"treopen","NV",113.793828487, 9.09507320, 1.054094e+02, 1.056144e+02, 1.095321e+02, 1.117615e+02, 1.140282e+02, 1.313665e+02, 1.344746e+02
"log10ys","NY",  0.097033322, 0.28207587,-4.215341e-02,-3.803390e-02,-1.318097e-02, 2.486774e-03, 2.197846e-02, 6.597021e-01, 7.928786e-01
"thetamin","NY",  0.330676432, 0.22597804, 8.211579e-04, 1.439128e-02, 2.523057e-01, 3.413742e-01, 3.980614e-01, 6.870288e-01, 7.349113e-01
"tautheta","NY", 17.769186282, 1.87892837, 1.456888e+01, 1.470754e+01, 1.700651e+01, 1.836414e+01, 1.891525e+01, 1.964131e+01, 1.964863e+01
"ntheta","NY",  3.960264831, 0.64910635, 2.848533e+00, 2.954071e+00, 3.476719e+00, 4.086788e+00, 4.453802e+00, 4.697357e+00, 4.717898e+00
"taus","NY", 36.631956749,18.65293906, 2.569487e+01, 2.572005e+01, 2.860208e+01, 3.177687e+01, 3.311140e+01, 7.360155e+01, 8.217546e+01
"taur","NY", 48.144020099,16.21318375, 9.155417e+00, 1.563664e+01, 5.049566e+01, 5.301986e+01, 5.645461e+01, 5.845096e+01, 5.885024e+01
"rmax","NY",  0.308739605, 0.14792307, 8.165089e-02, 9.719004e-02, 2.209047e-01, 3.060953e-01, 4.064457e-01, 5.101372e-01, 5.214544e-01
"treopen","NY",114.401143030,17.67424494, 1.043796e+02, 1.045073e+02, 1.053614e+02, 1.098702e+02, 1.113761e+02, 1.495231e+02, 1.575367e+02
"log10ys","OH",  0.059238968, 0.15234736,-4.540102e-02,-3.929768e-02, 8.860261e-04, 8.368014e-03, 3.457177e-02, 3.632671e-01, 4.300606e-01
"thetamin","OH",  0.467677808, 0.25749178,-1.511930e-03, 3.450414e-02, 3.767794e-01, 5.148635e-01, 6.292582e-01, 7.746103e-01, 8.004588e-01
"tautheta","OH", 17.492589406, 1.83197274, 1.488326e+01, 1.495683e+01, 1.633987e+01, 1.769565e+01, 1.885629e+01, 1.968999e+01, 1.982119e+01
"ntheta","OH",  4.568612593, 1.55671990, 2.968544e+00, 3.009416e+00, 3.893707e+00, 4.397685e+00, 4.637597e+00, 7.494748e+00, 8.062245e+00
"taus","OH", 33.444074060,10.12725535, 2.595316e+01, 2.602991e+01, 2.736868e+01, 2.996873e+01, 3.513861e+01, 5.309026e+01, 5.671128e+01
"taur","OH", 47.210840380, 8.82559941, 3.391152e+01, 3.471048e+01, 3.871762e+01, 5.042898e+01, 5.418633e+01, 5.627769e+01, 5.646538e+01
"rmax","OH",  0.624730198, 0.17979893, 3.243131e-01, 3.586366e-01, 5.309274e-01, 6.117538e-01, 7.254539e-01, 8.666315e-01, 8.743339e-01
"treopen","OH",110.936663466, 9.08974823, 1.032002e+02, 1.036507e+02, 1.065179e+02, 1.069120e+02, 1.123487e+02, 1.286563e+02, 1.315945e+02
"log10ys","OK",  0.007631514, 0.03663496,-6.631236e-02,-5.672104e-02, 3.692843e-04, 9.035700e-03, 2.543962e-02, 5.127273e-02, 5.262767e-02
"thetamin","OK",  0.516862428, 0.26136253,-9.554830e-04, 5.075019e-02, 4.415702e-01, 5.766813e-01, 6.849993e-01, 8.011031e-01, 8.249540e-01
"tautheta","OK", 18.903875241, 2.09806018, 1.573297e+01, 1.587607e+01, 1.794870e+01, 1.885925e+01, 2.014325e+01, 2.179997e+01, 2.197580e+01
"ntheta","OK",  4.552616706, 1.44417737, 3.087799e+00, 3.123233e+00, 3.554355e+00, 4.150187e+00, 5.106147e+00, 7.026882e+00, 7.222677e+00
"taus","OK", 30.699033943,10.75580541, 1.850575e+01, 1.913613e+01, 2.241313e+01, 2.787727e+01, 3.720323e+01, 4.718639e+01, 4.790465e+01
"taur","OK", 36.468482264,17.00449469, 2.766473e+00, 6.874557e+00, 2.917748e+01, 4.072757e+01, 4.548759e+01, 5.708323e+01, 5.925793e+01
"rmax","OK",  0.681707554, 0.20354784, 2.911307e-01, 3.323745e-01, 6.316908e-01, 6.950201e-01, 8.005309e-01, 9.414110e-01, 9.681811e-01
"treopen","OK",109.602909184, 9.27711559, 1.004816e+02, 1.005656e+02, 1.012749e+02, 1.070183e+02, 1.170692e+02, 1.230625e+02, 1.236376e+02
"log10ys","OR", -0.078592762, 0.23134017,-6.494220e-01,-5.388463e-01,-1.582119e-02,-4.241032e-03, 1.133216e-02, 3.115076e-02, 3.351359e-02
"thetamin","OR",  0.438677907, 0.25760295,-8.495451e-04, 3.291630e-02, 3.530879e-01, 4.529628e-01, 5.519661e-01, 7.933885e-01, 8.180150e-01
"tautheta","OR", 18.171281954, 1.63912198, 1.517169e+01, 1.538848e+01, 1.753632e+01, 1.864551e+01, 1.913154e+01, 1.991484e+01, 1.996834e+01
"ntheta","OR",  3.973787357, 0.95034139, 2.797920e+00, 2.840586e+00, 3.210654e+00, 3.927220e+00, 4.476971e+00, 5.389933e+00, 5.447457e+00
"taus","OR", 26.005727327,22.88088855,-1.472531e+01,-1.105263e+01, 1.942909e+01, 2.933148e+01, 3.402232e+01, 5.878527e+01, 6.312999e+01
"taur","OR", 47.751807407,28.09323463, 1.892460e+01, 1.945415e+01, 2.468214e+01, 4.433708e+01, 5.900191e+01, 9.562805e+01, 1.008439e+02
"rmax","OR",  0.458135918, 0.17733321, 2.197879e-01, 2.284346e-01, 3.338418e-01, 4.292502e-01, 6.477159e-01, 6.603635e-01, 6.613040e-01
"treopen","OR",104.177009281,22.03897476, 6.367028e+01, 6.756469e+01, 9.856063e+01, 1.069844e+02, 1.124481e+02, 1.347964e+02, 1.383017e+02
"log10ys","PA",  0.044910634, 0.10734481,-1.986009e-02,-1.675476e-02, 1.900629e-03, 7.190203e-03, 2.328113e-02, 2.602231e-01, 3.074059e-01
"thetamin","PA",  0.409174357, 0.24242735,-8.585395e-04, 2.598499e-02, 3.122350e-01, 4.570997e-01, 5.119357e-01, 7.441387e-01, 7.818268e-01
"tautheta","PA", 17.277267498, 1.67436032, 1.480246e+01, 1.481768e+01, 1.644277e+01, 1.750298e+01, 1.867072e+01, 1.900328e+01, 1.900640e+01
"ntheta","PA",  4.722608912, 1.26220341, 2.874404e+00, 2.958081e+00, 4.076826e+00, 4.722526e+00, 5.317699e+00, 6.549156e+00, 6.649451e+00
"taus","PA", 37.404575797,16.77490731, 2.796645e+01, 2.798906e+01, 3.038385e+01, 3.248050e+01, 3.383413e+01, 7.089384e+01, 7.845460e+01
"taur","PA", 47.364726881,14.59884956, 1.401590e+01, 1.858509e+01, 4.741917e+01, 5.316121e+01, 5.403022e+01, 5.892054e+01, 5.968477e+01
"rmax","PA",  0.433470617, 0.16312231, 2.724018e-01, 2.738706e-01, 3.003690e-01, 3.881194e-01, 5.543855e-01, 6.829510e-01, 7.044161e-01
"treopen","PA",114.681843295,15.86083690, 1.053710e+02, 1.054873e+02, 1.068222e+02, 1.102432e+02, 1.117868e+02, 1.464320e+02, 1.532571e+02
"log10ys","RI",  0.091434188, 0.24473843,-2.138304e-02,-1.912778e-02,-4.213584e-03, 7.462834e-03, 2.078635e-02, 5.806325e-01, 6.955366e-01
"thetamin","RI",  0.400812908, 0.24181217,-1.906192e-03, 2.466264e-02, 3.143143e-01, 4.295151e-01, 5.180735e-01, 7.385167e-01, 7.811122e-01
"tautheta","RI", 17.366896225, 1.68239972, 1.481161e+01, 1.489765e+01, 1.625350e+01, 1.775573e+01, 1.850966e+01, 1.939147e+01, 1.951284e+01
"ntheta","RI",  3.907743854, 0.95720179, 2.895006e+00, 2.932547e+00, 3.114221e+00, 3.746171e+00, 4.302790e+00, 5.401223e+00, 5.443129e+00
"taus","RI", 37.873754484,10.02407253, 2.636420e+01, 2.731944e+01, 3.332702e+01, 3.703125e+01, 3.816438e+01, 5.665121e+01, 6.056764e+01
"taur","RI", 47.162516053,10.48277767, 2.502264e+01, 2.842929e+01, 4.613749e+01, 4.764878e+01, 5.147038e+01, 6.053100e+01, 6.226158e+01
"rmax","RI",  0.569355199, 0.24624122, 2.610411e-01, 2.785691e-01, 3.797800e-01, 5.283514e-01, 7.530000e-01, 9.379277e-01, 9.739960e-01
"treopen","RI",115.240650709, 9.60072021, 1.037372e+02, 1.042442e+02, 1.108348e+02, 1.152301e+02, 1.162371e+02, 1.325698e+02, 1.358709e+02
"log10ys","SC",  0.044629719, 0.10180706,-2.100893e-02,-2.096293e-02,-7.269218e-04, 1.072566e-02, 4.063847e-02, 2.462924e-01, 2.898214e-01
"thetamin","SC",  0.502983070, 0.25854625,-1.424811e-03, 4.604571e-02, 4.323318e-01, 5.814007e-01, 6.261830e-01, 8.030135e-01, 8.343320e-01
"tautheta","SC", 19.572317215, 2.33705286, 1.659395e+01, 1.663349e+01, 1.800054e+01, 1.932722e+01, 2.171503e+01, 2.246119e+01, 2.258837e+01
"ntheta","SC",  5.842727978, 2.55821939, 3.038637e+00, 3.108770e+00, 4.212836e+00, 4.805584e+00, 7.855602e+00, 9.818459e+00, 1.012471e+01
"taus","SC", 29.872140831, 7.53749694, 2.330108e+01, 2.339898e+01, 2.439783e+01, 2.834777e+01, 3.212726e+01, 4.343320e+01, 4.561812e+01
"taur","SC", 41.325311626,10.47624363, 2.370850e+01, 2.520996e+01, 3.434488e+01, 4.293097e+01, 4.988540e+01, 5.236909e+01, 5.240751e+01
"rmax","SC",  0.682887762, 0.22260108, 3.136956e-01, 3.360647e-01, 5.291370e-01, 7.453618e-01, 8.637770e-01, 9.190363e-01, 9.305203e-01
