iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
310	2769.93	8.42785	3.62309	13.9018	4.13782	15.9227	0.0137534	82.9029	2.99595	7.09683	1.70382	0.586268	0.621182	0.676521	19.3491	4.14452	0.34416	0.117816	13.1922	1.73485	31.1512	0.351647	30.7277	5.96672	8.01702	-4.751876e+01	-1.067094e+03	-1.114613e+03
320	2510.24	13.2464	3.62309	15.1486	3.79575	16.01	0.0137458	83.5845	3.27934	6.93325	2.73909	0.583043	0.729898	0.677338	19.5133	3.27961	0.334569	0.100755	13.392	1.56518	25.9944	0.676554	39.289	7.19469	8.16599	-4.856467e+01	-1.066742e+03	-1.115307e+03
330	2579.87	14.7542	3.64496	15.2745	3.72995	16.01	0.0147941	83.5845	3.03402	6.86168	1.79422	0.584555	0.709153	0.675404	19.4804	4.07066	0.39942	0.0836247	13.3056	2.49573	27.0135	0.639921	46.5364	6.51991	8.80119	-4.747433e+01	-1.069722e+03	-1.117196e+03
340	2456.86	18.5718	3.63945	9.45979	3.77666	15.8189	0.0148519	84.398	3.79655	6.61841	1.20593	0.629994	0.727296	0.675404	19.4713	4.84893	0.346017	0.0519925	9.51472	2.50655	29.998	0.615057	50.7476	6.51991	8.74861	-4.839456e+01	-1.072626e+03	-1.121020e+03
350	2859.72	17.0642	3.58489	17.5526	3.68099	15.4999	0.0125839	84.4523	3.64098	6.73452	2.29717	0.649238	0.709736	0.679713	17.8511	4.57465	0.373053	0.0842391	12.7982	2.26381	26.0734	0.618444	41.4631	4.27493	8.58495	-4.707869e+01	-1.070761e+03	-1.117840e+03
360	2620.12	10.1785	3.51319	12.8086	2.79622	15.0862	0.0131592	84.4523	3.09349	6.93726	2.02259	0.664682	0.711245	0.669225	16.6455	5.03709	0.405119	0.0720351	11.313	2.44742	28.1903	0.642335	40.8808	4.27493	8.37342	-4.751476e+01	-1.069635e+03	-1.117150e+03
370	2215.78	18.3765	3.55944	10.6763	2.6043	14.8961	0.0134864	84.2883	4.3527	7.16682	2.84799	0.672299	0.731695	0.662149	16.4647	4.06516	0.375208	0.0599272	13.2072	2.49007	30.7662	0.587052	39.8798	5.13162	8.01001	-4.845810e+01	-1.067287e+03	-1.115745e+03
380	2379.08	15.8643	3.55944	7.603	2.79466	15.0853	0.0142516	86.2905	3.33877	7.78932	2.13407	0.695593	0.740896	0.662149	17.0733	5.07008	0.419968	0.098293	5.93908	1.68951	35.6219	0.617559	32.2342	4.26577	8.13234	-4.834704e+01	-1.069648e+03	-1.117995e+03
390	2386.22	12.0171	3.55944	11.4793	2.77613	14.332	0.0128564	86.259	2.50234	7.45322	2.59975	0.684649	0.68847	0.657345	16.0545	5.33116	0.500436	0.088208	5.27448	1.76962	35.4036	0.648828	38.0993	4.93554	8.38236	-4.839132e+01	-1.072312e+03	-1.120703e+03
400	2507.36	14.9268	3.62372	18.5452	3.16642	13.9971	0.0121977	86.0079	 4.69	7.41593	2.56844	0.678339	0.701778	0.660815	16.8104	5.0671	0.549273	0.067835	8.51383	2.31791	36.965	0.53371	23.4762	4.93554	8.43763	-4.818330e+01	-1.071272e+03	-1.119456e+03
