iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
540	4102.45	11.1082	2.94002	10.2831	2.3023	7.01614	0.00566832	153.885	34.2499	7.52968	2.47195	0.256268	0.708081	0.833815	0.449437	22.0906	4.35059	0.448821	0.14604	11.3169	13.6237	27.6198	0.585707	47.7707	7.30157	2.61792	-5.075303e+01	-1.034602e+03	-1.085355e+03
550	4016.31	13.7068	2.90059	11.0295	2.13636	6.5761	0.00516132	155.425	35.798	6.77821	2.13859	0.375085	0.68171	0.783192	0.446897	21.7599	4.00362	0.430666	0.176239	10.1778	13.849	28.4818	0.690534	50.7448	7.36643	5.04525	-5.188253e+01	-1.034152e+03	-1.086035e+03
560	5003.45	8.77118	2.90202	13.5424	2.39545	6.44299	0.0051933	165.404	36.8102	5.67776	2.66725	0.391511	0.673822	0.733087	0.455357	21.125	3.86012	0.430666	0.3932	11.7948	13.0473	32.8395	0.907858	53.7475	7.42411	3.56928	-5.591304e+01	-1.033192e+03	-1.089105e+03
570	5660.57	16.8906	2.90465	16.2007	2.51307	6.58408	0.00409569	165.404	36.8567	5.71705	2.50277	0.189224	0.604292	0.703026	0.453093	21.6238	3.98189	0.443839	0.213707	10.0968	13.4836	34.2607	0.833669	52.185	6.33496	4.01511	-5.423630e+01	-1.034865e+03	-1.089102e+03
580	6357.19	7.17733	2.96263	18.8627	2.97351	6.64919	0.0041356	165.747	38.637	6.73257	2.02079	0.101916	0.638116	0.664685	0.449945	21.3613	4.8593	0.448211	0.150679	11.6852	13.6636	34.2607	0.899392	55.5765	8.97449	3.25802	-5.598755e+01	-1.034837e+03	-1.090825e+03
590	6929.03	8.53247	2.9313	9.92583	3.05579	6.67125	0.00380707	173.064	39.0247	5.71565	2.75808	0.235599	0.663328	0.711915	0.4489	20.8906	6.10793	0.428779	0.120546	12.7799	13.331	34.3226	0.72715	51.1909	6.93061	2.79367	-5.319090e+01	-1.034345e+03	-1.087536e+03
600	7823.92	10.0689	2.95059	9.43676	2.95769	6.63203	0.00336282	169.461	41.4554	5.61581	2.59246	0.356226	0.753818	0.671341	0.448686	21.0181	4.72665	0.428779	0.116448	13.8557	13.6507	30.9036	0.613269	52.8754	8.51986	3.03298	-5.206302e+01	-1.040828e+03	-1.092891e+03
610	7791.4	10.9573	2.91782	13.7267	3.08352	6.30533	0.00341308	171.578	37.2741	6.00516	2.70016	0.308896	0.662561	0.609909	0.447986	22.3202	4.74613	0.428779	0.203244	9.94184	12.6637	29.9471	0.627327	60.6892	7.74995	4.064	-5.268161e+01	-1.036371e+03	-1.089053e+03
620	8110.07	12.6525	2.95007	11.782	3.1717	6.34815	0.00270783	176.505	36.7956	5.78952	1.73727	0.282366	0.574013	0.730458	0.44015	21.5663	5.84602	0.43138	0.152486	10.2158	12.7269	32.5514	0.614925	41.966	7.90725	3.24283	-5.169012e+01	-1.038368e+03	-1.090058e+03
630	7383.01	13.1743	2.94806	9.21196	3.28685	6.10648	0.00287407	171.518	36.1935	5.78952	1.60231	0.438374	0.744251	0.648942	0.44015	22.2736	5.28766	0.442111	0.193883	9.23257	12.1498	30.2339	0.528553	45.8915	4.18649	4.70688	-5.113480e+01	-1.039684e+03	-1.090819e+03
