"","Date","Output_Var","state","Data","Training","Prediction.2.5.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.97.5.","in.IQR","in.CI"
"1422",2020-06-18,"positive","CO",29673,"Training",25516.538828272,27915.19922004,29358.75597,30758.08562748,34222.38283984,TRUE,TRUE
"1423",2020-06-19,"death","CO",1417,"Training",1203.4481240292,1434.188726172,1596.301463624,1815.458800208,2264.8168574348,FALSE,TRUE
"1424",2020-06-19,"positive","CO",29901,"Training",25750.021020656,28142.52532364,29601.74583552,31020.33846492,34465.633288164,TRUE,TRUE
"1425",2020-06-20,"death","CO",1429,"Training",1214.0295134924,1444.711376528,1607.758468896,1826.87261496,2277.7545777008,FALSE,TRUE
"1426",2020-06-20,"positive","CO",30187,"Training",25985.477019804,28389.33035176,29840.07112488,31277.86913884,34723.86076914,TRUE,TRUE
"1427",2020-06-21,"death","CO",1429,"Training",1224.2930207284,1457.353241732,1618.786448336,1838.63483324,2291.4109882196,FALSE,TRUE
"1428",2020-06-21,"positive","CO",30349,"Training",26216.123034708,28628.01556212,30076.63999976,31535.06868544,34984.159955392,TRUE,TRUE
"1429",2020-06-22,"death","CO",1429,"Training",1234.1645020112,1467.62826644,1628.941979272,1849.606665004,2305.1632816928,FALSE,TRUE
"1430",2020-06-22,"positive","CO",30539,"Training",26449.422387224,28862.33852996,30309.60966464,31788.53945048,35218.878836332,TRUE,TRUE
"1431",2020-06-23,"death","CO",1438,"Training",1244.0408782196,1477.170491992,1639.808714104,1860.538185616,2318.8667698784,FALSE,TRUE
"1432",2020-06-23,"positive","CO",30705,"Training",26685.635660156,29104.8676966,30552.45556176,32029.25461528,35457.864940648,TRUE,TRUE
"1433",2020-06-24,"death","CO",1455,"Training",1253.9364022252,1486.800538268,1650.649534624,1874.760823852,2332.5475110568,FALSE,TRUE
"1434",2020-06-24,"positive","CO",30893,"Training",26924.99896168,29356.39488824,30818.94107016,32278.83823352,35716.790668364,TRUE,TRUE
"1435",2020-06-25,"death","CO",1457,"Training",1263.8139301808,1497.366379144,1662.742880224,1887.645995652,2346.205505228,FALSE,TRUE
"1436",2020-06-25,"positive","CO",31155,"Training",27165.384438844,29621.90141152,31062.16128512,32531.87709336,35980.350738876,TRUE,TRUE
"1437",2020-06-26,"death","CO",1475,"Training",1273.658921278,1508.534007932,1673.140278072,1898.905764216,2359.8583165368,FALSE,TRUE
