"date","numDate","state","fips","variable","value"
2020-03-24,84,"IN",18,"positiveIncrease",106
2020-03-24,84,"KS",20,"positiveIncrease",16
2020-03-24,84,"KY",21,"positiveIncrease",20
2020-03-24,84,"LA",22,"positiveIncrease",216
2020-03-24,84,"MA",25,"positiveIncrease",382
2020-03-24,84,"MD",24,"positiveIncrease",61
2020-03-24,84,"ME",23,"positiveIncrease",18
2020-03-24,84,"MI",26,"positiveIncrease",1093
2020-03-24,84,"MN",27,"positiveIncrease",51
2020-03-24,84,"MO",29,"positiveIncrease",0
2020-03-24,84,"MS",28,"positiveIncrease",71
2020-03-24,84,"MT",30,"positiveIncrease",12
2020-03-24,84,"NC",37,"positiveIncrease",101
2020-03-24,84,"ND",38,"positiveIncrease",4
2020-03-24,84,"NE",31,"positiveIncrease",2
2020-03-24,84,"NH",33,"positiveIncrease",23
2020-03-24,84,"NJ",34,"positiveIncrease",831
2020-03-24,84,"NM",35,"positiveIncrease",18
2020-03-24,84,"NV",32,"positiveIncrease",33
2020-03-24,84,"NY",36,"positiveIncrease",4790
2020-03-24,84,"OH",39,"positiveIncrease",122
2020-03-24,84,"OK",40,"positiveIncrease",25
2020-03-24,84,"OR",41,"positiveIncrease",18
2020-03-24,84,"PA",42,"positiveIncrease",207
2020-03-24,84,"PR",72,"positiveIncrease",8
2020-03-24,84,"RI",44,"positiveIncrease",19
2020-03-24,84,"SC",45,"positiveIncrease",0
2020-03-24,84,"SD",46,"positiveIncrease",2
2020-03-24,84,"TN",47,"positiveIncrease",52
2020-03-24,84,"TX",48,"positiveIncrease",58
2020-03-24,84,"UT",49,"positiveIncrease",42
2020-03-24,84,"VA",51,"positiveIncrease",36
2020-03-24,84,"VT",50,"positiveIncrease",28
2020-03-24,84,"WA",53,"positiveIncrease",355
2020-03-24,84,"WI",55,"positiveIncrease",59
2020-03-24,84,"WV",54,"positiveIncrease",4
2020-03-24,84,"WY",56,"positiveIncrease",3
2020-03-25,85,"AK",2,"positiveIncrease",6
2020-03-25,85,"AL",1,"positiveIncrease",68
2020-03-25,85,"AR",5,"positiveIncrease",62
2020-03-25,85,"AZ",4,"positiveIncrease",93
2020-03-25,85,"CA",6,"positiveIncrease",253
2020-03-25,85,"CO",8,"positiveIncrease",192
2020-03-25,85,"CT",9,"positiveIncrease",257
2020-03-25,85,"DC",11,"positiveIncrease",46
2020-03-25,85,"DE",10,"positiveIncrease",24
2020-03-25,85,"FL",12,"positiveIncrease",270
2020-03-25,85,"GA",13,"positiveIncrease",221
2020-03-25,85,"GU",66,"positiveIncrease",5
2020-03-25,85,"HI",15,"positiveIncrease",13
2020-03-25,85,"IA",19,"positiveIncrease",21
2020-03-25,85,"ID",16,"positiveIncrease",23
2020-03-25,85,"IL",17,"positiveIncrease",330
2020-03-25,85,"IN",18,"positiveIncrease",112
2020-03-25,85,"KS",20,"positiveIncrease",28
2020-03-25,85,"KY",21,"positiveIncrease",33
2020-03-25,85,"LA",22,"positiveIncrease",407
2020-03-25,85,"MA",25,"positiveIncrease",679
2020-03-25,85,"MD",24,"positiveIncrease",74
2020-03-25,85,"ME",23,"positiveIncrease",24
2020-03-25,85,"MI",26,"positiveIncrease",1180
2020-03-25,85,"MN",27,"positiveIncrease",58
2020-03-25,85,"MO",29,"positiveIncrease",173
2020-03-25,85,"MS",28,"positiveIncrease",57
2020-03-25,85,"MT",30,"positiveIncrease",7
2020-03-25,85,"NC",37,"positiveIncrease",106
2020-03-25,85,"ND",38,"positiveIncrease",5
2020-03-25,85,"NE",31,"positiveIncrease",9
2020-03-25,85,"NH",33,"positiveIncrease",7
2020-03-25,85,"NJ",34,"positiveIncrease",727
2020-03-25,85,"NM",35,"positiveIncrease",17
